MongoDB shell version: 2.4.5
connecting to: localhost:27017/futura
ackattum	usc	1	2	36	3	0	0	0	0	5	0	undefined
rnarasim	usc	1	2	35	18	1	4	1	0	5	4	3.58
nandanan	usc	0	0	0	0	0	0	0	0	0	0	3.43
utambe	usc	1	1	24	4	2	10	8	0	6	0	3.73
arjunmoh	usc	0	0	0	0	0	0	0	0	0	0	3.7
ankit.mutha	usc	0	0	0	0	0	0	0	0	0	0	3.83
amutha	usc	1	2	18	0	1	3	0	1	7	0	3.83
sekharss	usc	1	2	26	2	2	4	0	0	7	0	3.4
kallangada	usc	0	1	10	6	0	0	0	0	7	6	undefined
weiweich	usc	1	0	0	0	1	3	7	10	3	0	3.7
aditya_tuteja	usc	1	1	78	4	1	3	4	0	6	0	3.35
knsubram	usc	1	2	23	6	2	10	3	0	1	0	3.94
aakarsh	usc	0	0	0	0	0	0	0	0	0	0	undefined
waihungc	usc	1	0	0	0	4	NaN	20	0	6	0	undefined
tahmaseb	usc	1	2	26	5	1	8	2	0	3	2	undefined
gladon	usc	1	0	0	0	0	0	0	0	0	0	3.66
kmaddipa	usc	1	0	0	0	1	3	5	0	5	0	3.67
aashitai	usc	0	0	0	0	1	5	4	0	5	2	3.4
souravde	usc	1	0	0	0	3	13	13	0	6	0	3.7
vemulapa	usc	1	0	0	0	1	7	5	1	5	0	3.3
avvari	usc	1	1	16	3	1	NaN	0	2	10	6	
thimmadh	usc	1	1	36	9	1	3	4	0	4	0	4
pradeep	usc	0	0	0	0	0	0	0	0	0	0	3.66
abahri	usc	1	1	18	9	0	0	0	1	6	4	undefined
upreti	usc	0	0	0	0	0	0	0	0	0	0	undefined
fangyang	usc	1	2	17	0	0	0	0	0	5	0	3.85
ruchirch	usc	1	1	16	11	2	5	12	0	6	6	3.3
zhao865	usc	1	1	8	5	1	2	3	0	2	2	3.5
diveygup	usc	1	1	12	1	1	2	1	0	8	0	3.62
xiananfa	usc	1	0	0	0	0	0	0	0	0	0	3.87
rezaul	usc	1	2	37	10	0	0	0	0	4	0	undefined
sshandil	usc	1	1	34	7	0	0	0	1	6	4	3.7
xingming	usc	0	0	0	0	0	0	0	0	0	0	undefined
mahdi	ucla	0	0	0	0	0	0	0	0	0	0	3.7
bingyu-li	ucla	1	1	9	4	2	10	17	0	0	0	3.967
ipmsteven	ucla	0	0	0	0	0	0	0	0	0	0	undefined
praphull	ucla	0	0	0	0	0	0	0	0	0	0	undefined
chaoyanf	usc	1	1	3	8	2	NaN	6	0	5	2	3.42
taqi	ucla	0	0	0	0	0	0	0	0	0	0	4
lucyli1	illinois	0	0	0	0	0	0	0	0	0	0	undefined
lcs	ucla	0	0	0	0	0	0	0	0	0	0	undefined
ding	ucla	0	0	0	0	0	0	0	0	0	0	undefined
stanleyku	ucla	0	1	25	0	0	0	0	0	0	4	undefined
xjiang	ucla	0	0	0	0	0	0	0	0	0	0	3.9
aravindanbalan	ucla	0	0	0	0	0	0	0	0	1	0	0
youlu	ucla	1	8	54	0	3	8	3	4	2	13	3.54
cworrell	ucla	1	3	134	14	1	15	3	0	1	11	3.7
rajanthapur	ucla	0	1	24	2	0	0	0	0	1	4	3.75
amit-karyekar	ucla	1	1	21	5	1	3	8	2	10	0	3.67
dhanashreenair	ucla	0	0	0	0	0	0	0	0	0	0	undefined
gayatri-s	ucla	1	1	25	9	0	0	0	1	3	0	undefined
chunzhiyang	ucla	1	0	0	0	2	7	4	1	5	0	undefined
boyuan	ucla	1	0	0	0	2	6	0	4	0	0	3.9
swati1591	ucla	1	1	2	2	1	1	3	0	3	4	4.0
zzt	ucla	1	0	0	0	1	NaN	2	0	4	6	3.64
zhinan	ucla	1	3	12	2	0	0	0	0	3	0	undefined
alanwake	ucla	1	3	11	4	2	3	6	0	12	0	3.78
ytnoh	ucla	1	1	20	1	1	3	1	5	2	0	undefined
godscicixu	ucla	1	0	0	0	2	6	6	0	4	0	undefined
ashwinr89	ucla	1	2	24	2	1	3	1	1	6	0	3.7
xudanfeng	ucla	1	0	0	0	2	6	7	0	1	0	undefined
sfrancon	harvard	1	0	0	0	0	0	0	0	5	0	undefined
awadia	ucla	1	0	0	0	2	11	0	6	16	2	4
hiteshag	ucla	1	0	0	0	2	NaN	4	2	8	0	3.513
nick-karianakis	ucla	1	3	41	4	1	3	4	1	4	2	3.81
syqi	ucla	1	4	12	7	0	0	0	0	10	0	3.93
leseryang	ucla	1	3	22	8	0	0	0	0	12	0	3.68
umayikal	usc	1	2	35	2	1	5	1	1	4	0	3.6
cherylautumn	ucla	0	0	0	0	0	0	0	0	0	0	undefined
jkhalsa	usc	1	0	0	0	0	0	0	0	2	0	3.88
maggarwa	usc	1	3	91	11	0	0	0	0	14	4	3.5
kchugh	ucla	0	2	38	10	2	8	11	2	9	0	3.89
tomerwei	ucla	0	3	29	0	0	0	0	0	0	0	undefined
nagendra	ucla	1	2	34	5	1	3	3	3	6	0	3.744
lakshman	ucla	0	2	73	11	0	0	0	0	3	0	undefined
yalai	ucla	1	2	16	5	1	1	3	1	6	4	4.0
nataraju	usc	1	1	47	8	1	3	2	1	4	0	undefined
ashvaibhav	usc	1	0	0	0	0	0	0	0	1	5	3.82
varunsl	usc	1	2	50	13	2	4	11	0	5	6	3.5
nnnarang	usc	1	3	50	7	1	3	4	0	3	4	3.55
apimpale	usc	0	0	0	0	0	0	0	0	0	0	undefined
stevezhao	ucla	0	0	0	0	0	0	0	0	0	0	undefined
asagar	usc	1	0	0	0	2	9	7	0	9	0	undefined
skatti	usc	1	0	0	0	0	0	0	0	7	0	3.72
ayushmad	usc	0	0	0	0	0	0	0	0	0	0	3.8
supraja-sundaresan	ucla	1	0	0	0	0	0	0	0	0	0	3.9
kishore	usc	1	3	23	8	1	NaN	4	0	2	6	undefined
ravi	usc	1	14	274	14	8	1	5	3	4	2	null
nerli	usc	1	1	46	3	2	NaN	2	0	8	0	3.4
rudravar	usc	1	1	14	2	1	3	5	0	5	8	3.2
bole	usc	1	2	29	11	0	0	0	0	5	4	3.8
nishant-mandapaty	berkeley	1	3	24	10	0	0	0	1	3	4	3.3
arman	usc	1	2	8	7	0	0	0	0	6	9	undefined
sanketch	usc	0	0	0	0	0	0	0	0	0	0	3.6
cmccall	stanford	0	0	0	0	0	0	0	0	0	0	undefined
mhaskar	usc	1	1	21	14	2	NaN	12	0	7	4	3.53
pankajk	usc	1	1	31	4	2	5	9	0	8	0	undefined
aditij	usc	0	0	0	0	0	0	0	0	0	0	undefined
aitharaj	usc	1	4	88	4	1	3	2	2	1	0	undefined
kapitans	usc	1	0	0	0	9	NaN	30	0	11	0	undefined
krisys	usc	0	0	0	0	0	0	0	0	0	2	
spal	usc	1	1	6	0	1	3	3	1	3	0	undefined
abparikh	usc	1	0	0	0	0	0	0	0	0	0	3.94
czhao	ucla	0	0	0	0	0	0	0	0	0	0	undefined
sidgupta	usc	1	2	14	7	0	0	0	0	6	4	
ashishj	usc	1	0	0	0	0	0	0	0	0	0	3.7
kaushik-andra	illinois	0	0	0	0	0	0	0	0	0	0	3.84
rangneka	usc	1	1	25	6	1	2	2	0	5	0	undefined
ashwinr	usc	1	1	24	7	1	NaN	6	0	9	0	undefined
sadana	usc	0	0	0	0	0	0	0	0	0	0	undefined
yunxianz	usc	1	0	0	0	1	1	1	0	4	0	undefined
koduri	usc	0	0	0	0	0	0	0	0	2	0	3.33
nirb	stanford	0	0	0	0	0	0	0	0	0	0	undefined
rwitalec	stanford	0	0	0	0	0	0	0	0	0	0	undefined
ravitest	metester	0	0	0	0	2	NaN	0	0	0	0	3.5
jiayex	cmu	1	0	0	0	1	6	0	0	0	4	undefined
aksingh4	illinois	1	4	27	19	1	2	5	0	2	9	3.0
yeaz	stanford	0	0	0	0	0	0	0	0	0	0	3
vthallam	nyu	1	2	57	9	2	NaN	7	0	2	6	undefined
jabelman	gatech	1	0	0	0	1	3	0	0	15	5	undefined
selvadinesh	nyu	0	0	0	0	0	0	0	0	0	0	undefined
aswin-sivaraman	illinois	0	0	0	0	0	0	0	0	0	0	undefined
kishorepolani	nyu	0	1	34	0	0	0	0	0	3	4	undefined
byounessi	berkeley	0	0	0	0	0	0	0	0	0	0	undefined
zhuang45	illinois	0	0	0	0	0	0	0	0	0	0	undefined
peddinti	usc	1	1	4	4	2	9	9	5	0	6	3.86
adityav	stanford	0	0	0	0	0	0	0	0	0	0	undefined
bansod	usc	1	2	65	11	1	3	4	0	6	2	3.7
akleinr2	illinois	1	1	2	5	1	4	0	0	3	4	undefined
uk300	nyu	0	0	0	0	1	4	0	0	2	4	3.5
rujulsha	usc	0	0	0	0	2	7	3	0	6	4	395
yuanqinc	usc	0	0	0	0	0	0	0	0	0	0	3
jia	usc	1	0	0	0	1	NaN	4	0	8	6	undefined
schhajer	usc	1	2	31	8	3	NaN	9	0	7	4	undefined
kalyn	usc	0	0	0	0	3	8	11	0	0	0	undefined
kristachow	usc	1	1	0	0	2	10	8	1	8	5	3.58
msandt	gatech	0	0	0	0	0	0	0	0	0	0	3
jessmchang	berkeley	0	0	0	0	0	0	0	0	0	0	undefined
belwalka	usc	1	0	0	0	0	0	0	0	8	6	undefined
sam-couch	usc	0	0	0	0	0	0	0	0	0	0	3
dvonbeck	usc	0	3	18	6	0	0	0	0	2	12	3.6
pkn217	nyu	1	0	0	0	2	16	3	0	4	4	3.67
sseth2	illinois	1	0	0	0	0	0	0	0	0	0	3.5
sean-zhu	berkeley	1	6	166	23	1	2	4	1	3	4	3.2
boustani	usc	1	3	9	13	0	0	0	0	4	2	4
chetanme	usc	1	2	33	8	1	1	3	0	3	6	4.0
tllarson	usc	1	0	0	0	1	3	7	0	1	4	3
sabhilas	usc	1	1	24	9	0	0	0	0	4	2	4.0
budanuru	usc	0	0	0	0	0	0	0	0	0	0	undefined
hemantku	usc	1	0	0	0	0	0	0	0	2	6	undefined
aupasani	usc	1	6	48	31	0	0	0	0	6	4	3.76
yeduguru	usc	0	0	0	0	1	2	2	0	1	6	undefined
cnadig	usc	1	1	13	6	0	0	0	0	3	4	undefined
ruby-ghastin	berkeley	0	0	0	0	0	0	0	0	0	0	3
kgopal	usc	1	0	0	0	0	0	0	0	0	0	undefined
seanharger	rice	1	0	0	0	2	6	8	1	7	4	3.82
acr2	rice	1	3	31	7	2	5	5	0	4	0	3
pyw1	rice	1	3	50	0	2	6	5	2	10	0	3.78
susantho	usc	1	0	0	0	0	0	0	0	0	6	3
mohandaskatragadda	ufl	0	0	0	0	0	0	0	0	0	0	undefined
chunhaol	usc	1	0	0	0	0	0	0	0	3	6	
chengyey	usc	1	2	18	3	0	0	0	2	1	0	3.9
boyangyu	usc	1	0	0	0	3	NaN	7	0	3	5	3.82
nimeri	rice	0	0	0	0	0	0	0	0	0	0	undefined
crb263	cornell	0	0	0	0	0	0	0	0	0	0	undefined
roopali	nyu	0	1	6	1	1	NaN	0	0	2	2	undefined
myna	usc	1	1	13	3	2	NaN	4	0	8	5	4
sanduvee	usc	0	0	0	0	1	3	0	0	4	3	undefined
trevordavenport	berkeley	1	2	8	4	6	NaN	6	0	8	2	undefined
par94	cornell	0	1	19	0	3	7	0	1	16	1	3.50
f24u23	berkeley	1	1	0	5	0	0	0	0	6	0	CS only 3.54
garrettgoehring2017	northwestern	0	0	0	0	0	0	0	0	0	0	undefined
goldenbearray	ucla	1	1	4	2	0	0	0	1	1	6	3.6
ksanthan	usc	1	4	40	16	1	NaN	4	0	2	6	3.647
anil	usc	0	0	0	0	0	0	0	0	0	0	3
srinivak	usc	0	1	6	3	0	0	0	0	4	6	3.6
drc357	nyu	1	2	13	12	1	3	2	0	2	6	3.9
rserickson92	berkeley	1	2	9	2	0	0	0	0	8	4	3.137
samirlav	usc	1	1	2	3	1	NaN	4	0	1	0	3.62
gheberli	stanford	1	1	2	5	1	2	6	4	2	5	undefined
rjp	usc	0	3	25	0	4	34	0	3	0	0	3.43
zhanyongwang	ucla	1	2	11	0	2	6	0	3	7	11	3.73
satishch	usc	1	3	38	14	1	5	0	0	8	6	3.7
shankars	usc	1	1	24	3	2	4	4	0	6	4	4
serhatyi	usc	0	0	0	0	3	4	8	0	0	7	undefined
guocheng	usc	1	0	0	0	2	19	1	0	4	4	3.76
deore	usc	0	0	0	0	0	0	0	0	0	4	3
rytz	nyu	0	0	0	0	0	0	0	0	0	4	3.5
lviswana	cmu	0	0	0	0	0	0	0	0	0	4	3.78
pt	nyu	1	2	19	6	0	0	0	1	2	2	3.53
ashmitch	usc	1	1	12	6	0	0	0	0	8	4	3.61
tvf207	nyu	0	0	0	0	0	0	0	0	0	0	3.5
sgowdagi	usc	0	0	0	0	3	NaN	5	0	3	0	undefined
adammansour	berkeley	0	0	0	0	0	0	0	0	0	0	4.0
morgante	nyu	0	0	0	0	0	0	0	0	0	0	undefined
sdeora	usc	0	0	0	0	0	0	0	0	0	0	undefined
neeraj	berkeley	0	0	0	0	0	0	0	0	0	0	undefined
medikond	usc	1	1	20	2	0	0	0	0	6	2	3.5
nitinj	usc	1	0	0	0	0	0	0	0	3	5	3.9
